structure,nom1,nom2,adresse1,adresse2,cp,ville,longitude,latitude,coordonnees_geoloc,coordonnees_ban,region,coordonnees_finales.lon,coordonnees_finales.lat,coordonnees_finales
Centre d’art,CAC BRÉTIGNY-SUR-ORGE,CENTRE D'ART CONTEMPORAIN,Espace Jules Verne,,91220.0,BRÉTIGNY-SUR-ORGE,,,,"48.610093, 2.300881",Île-de-France,2.300881,48.610093,
Orchestre Permanent,Orchestre national des Pays de la Loire,,"7, rue de Valmy",B.P. 71229,44012.0,NANTES cedex 1,-1.544615,47.21330499999999,"47.21330499999999,-1.544615",,Pays de la Loire,-1.5446149999999998,47.21330499999999,
SMAC,Le 6 par 4,association Poc Pok,"177, rue du Vieux Saint-Louis",,53000.0,LAVAL,,,,"48.07895, -0.771392",Pays de la Loire,-0.771392,48.07895,
SMAC,La Cave à Musique,Association Luciol,"119, rue Boullay",,71000.0,MACON,,,,"46.300907, 4.825409",Bourgogne-Franche-Comté,4.825409,46.300907,
SMAC,Le Kabardock,Assocation l'AGEMA,"60, rue Mahé de Labourdonnais",,97420.0,LE PORT,,,,"-20.94048, 55.293874",,55.293874,-20.94048,
Centre Dramatique National,THEATRE DES TREIZE VENTS,CENTRE DRAMATIQUE NATIONAL DU LANGUEDOC-ROUSSILLON,avenue Albert Einstein,Domaine de Grammont,34965.0,MONTPELLIER CEDEX 2,3.92986,43.60967599999999,"43.60967599999999,3.92986",,Occitanie,3.92986,43.60967599999999,
Centre d’art,CENTRE D'ART DE L'YONNE,,"10, route de Saint-Georges",,89000.0,AUXERRE,,,,"47.797124, 3.55735",Bourgogne-Franche-Comté,3.55735,47.797124,
Centre d’art,CENTRE NATIONAL DE L'ESTAMPE,ET DE L'ART IMPRIMÉ - CNEAI,Maison Levanneur,,78400.0,CHATOU,,,,"48.900097, 2.152636",Île-de-France,2.152636,48.900097,
Orchestre Permanent,Orchestre lyrique de région Avignon Provence,,"258, Chemin des Rémouleurs",BP 10967 - Z.I de Courtine,84093.0,Avignon Cedex 9,4.788369999999999,43.938124000000016,"43.938124000000016,4.788369999999999",,Provence-Alpes-Côte d'Azur,4.788369999999999,43.938124000000016,
Centre Dramatique National,THEATRE NATIONAL POPULAIRE,,"8, place Lazare Goujon",,69627.0,VILLEURBANNE CEDEX,4.879626000000001,45.765804,"45.765804,4.879626000000001",,Auvergne-Rhône-Alpes,4.879626000000001,45.765804,
